participant,question,mean,median,std,min,max,ci_low,ci_high,n
1,gesture,2.0,2.0,0.7071067811865476,1,3,1.1220109669149156,2.8779890330850844,5
1,voice,2.2,2.0,0.4472135954999579,2,3,1.6447109789604406,2.7552890210395597,5
2,gesture,2.4,2.0,1.140175425099138,1,4,0.984285223017725,3.815714776982275,5
2,voice,1.6,2.0,0.5477225575051661,1,2,0.9199126193417432,2.280087380658257,5
3,gesture,2.4,2.0,0.5477225575051661,2,3,1.719912619341743,3.0800873806582567,5
3,voice,2.0,2.0,0.0,2,2,2.0,2.0,5
4,gesture,3.4,3.0,0.5477225575051661,3,4,2.719912619341743,4.080087380658257,5
4,voice,3.6,4.0,0.5477225575051661,3,4,2.9199126193417433,4.280087380658257,5
5,gesture,2.4,2.0,1.140175425099138,1,4,0.984285223017725,3.815714776982275,5
5,voice,2.8,3.0,0.44721359549995787,2,3,2.2447109789604403,3.3552890210395594,5
